[2013-06-06 11:22:41,066]	Job JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml fired (by trigger JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml) at:  11:22:41 06/06/2013
[2013-06-06 11:22:41,067]	Job JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml execution complete at  11:22:41 06/06/2013 and reports: null
[2013-06-06 11:22:41,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:41 06/06/2013
[2013-06-06 11:22:41,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:41 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:41,668]	Job DEFAULT.TestJob1 execution complete at  11:22:41 06/06/2013 and reports: hello
[2013-06-06 11:22:46,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:46 06/06/2013
[2013-06-06 11:22:46,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:46 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:46,669]	Job DEFAULT.TestJob1 execution complete at  11:22:46 06/06/2013 and reports: hello
[2013-06-06 11:22:51,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:51 06/06/2013
[2013-06-06 11:22:51,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:51 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:51,668]	Job DEFAULT.TestJob1 execution complete at  11:22:51 06/06/2013 and reports: hello
[2013-06-06 11:22:56,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:22:56 06/06/2013
[2013-06-06 11:22:56,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:22:56 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:22:56,668]	Job DEFAULT.TestJob1 execution complete at  11:22:56 06/06/2013 and reports: hello
[2013-06-06 11:23:00,001]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute) at:  11:23:00 06/06/2013
[2013-06-06 11:23:00,002]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:23:00 CST 2013, fired by: GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinute
[2013-06-06 11:23:00,002]	 - jobDataMap entry: someKey = overriddenValue
[2013-06-06 11:23:00,002]	 - jobDataMap entry: someOtherKey = someOtherOverriddenValue
[2013-06-06 11:23:00,002]	Job GroupOfTestJob2.TestJob2 execution complete at  11:23:00 06/06/2013 and reports: hello
[2013-06-06 11:23:01,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:01 06/06/2013
[2013-06-06 11:23:01,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:01 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:01,669]	Job DEFAULT.TestJob1 execution complete at  11:23:01 06/06/2013 and reports: hello
[2013-06-06 11:23:06,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:06 06/06/2013
[2013-06-06 11:23:06,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:06 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:06,668]	Job DEFAULT.TestJob1 execution complete at  11:23:06 06/06/2013 and reports: hello
[2013-06-06 11:23:11,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:11 06/06/2013
[2013-06-06 11:23:11,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:11 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:11,668]	Job DEFAULT.TestJob1 execution complete at  11:23:11 06/06/2013 and reports: hello
[2013-06-06 11:23:16,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:16 06/06/2013
[2013-06-06 11:23:16,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:16 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:16,668]	Job DEFAULT.TestJob1 execution complete at  11:23:16 06/06/2013 and reports: hello
[2013-06-06 11:23:21,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:21 06/06/2013
[2013-06-06 11:23:21,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:21 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:21,668]	Job DEFAULT.TestJob1 execution complete at  11:23:21 06/06/2013 and reports: hello
[2013-06-06 11:23:26,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:26 06/06/2013
[2013-06-06 11:23:26,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:26 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:26,668]	Job DEFAULT.TestJob1 execution complete at  11:23:26 06/06/2013 and reports: hello
[2013-06-06 11:23:31,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:31 06/06/2013
[2013-06-06 11:23:31,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:31 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:31,668]	Job DEFAULT.TestJob1 execution complete at  11:23:31 06/06/2013 and reports: hello
[2013-06-06 11:23:36,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:36 06/06/2013
[2013-06-06 11:23:36,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:36 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:36,669]	Job DEFAULT.TestJob1 execution complete at  11:23:36 06/06/2013 and reports: hello
[2013-06-06 11:23:41,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:23:41 06/06/2013
[2013-06-06 11:23:41,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:23:41 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:23:41,668]	Job DEFAULT.TestJob1 execution complete at  11:23:41 06/06/2013 and reports: hello
